,Park_Name,Park_Code,state,Lat,Long,designation,activities,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
383,San Antonio Missions National Historical Park,saan,TX,29.31262089,-98.4289522,National Historical Park,"['Arts and Culture', 'Biking', 'Road Biking', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hands-On', 'Citizen Science', 'Arts and Crafts', 'Paddling', 'Kayaking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Biking,Road Biking,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hands-On,Citizen Science,Arts and Crafts,Paddling,Kayaking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,San Francisco Maritime National Historical Park,safr,CA,37.81005871,-122.4244415,National Historical Park,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Live Music', 'Boating', 'Sailing', 'Boat Tour', 'Guided Tours', 'Self-Guided Tours - Walking', 'Boat Tour', 'Hands-On', 'Arts and Crafts', 'Living History', 'First Person Interpretation', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Live Music,Boating,Sailing,Boat Tour,Guided Tours,Self-Guided Tours - Walking,Boat Tour,Hands-On,Arts and Crafts,Living History,First Person Interpretation,Junior Ranger Program,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,San Juan Island National Historical Park,sajh,WA,48.51241933,-123.0610277,National Historical Park,"['Arts and Culture', 'Cultural Demonstrations', 'Astronomy', 'Stargazing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Living History', 'Reenactments', 'Historic Weapons Demonstration', 'First Person Interpretation', 'Paddling', 'Kayaking', 'Junior Ranger Program', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Arts and Culture,Cultural Demonstrations,Astronomy,Stargazing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Living History,Reenactments,Historic Weapons Demonstration,First Person Interpretation,Paddling,Kayaking,Junior Ranger Program,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,San Juan National Historic Site,saju,PR,18.46873857,-66.11848623,National Historic Site,"['Arts and Culture', 'Food', 'Picnicking', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Food,Picnicking,Guided Tours,Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Sand Creek Massacre National Historic Site,sand,CO,38.56414189,-102.5169542,National Historic Site,"['Guided Tours', 'Hiking', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store']",Guided Tours,Hiking,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Santa Fe National Historic Trail,safe,"CO,KS,MO,NM,OK",37.7276522225604,-99.9219692270385,National Historic Trail,"['Arts and Culture', 'Theater', 'Auto and ATV', 'Scenic Driving', 'Guided Tours', 'Self-Guided Tours - Auto', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits']",Arts and Culture,Theater,Auto and ATV,Scenic Driving,Guided Tours,Self-Guided Tours - Auto,Hiking,Junior Ranger Program,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Santa Monica Mountains National Recreation Area,samo,CA,34.09777606,-118.7708619,National Recreation Area,"['Biking', 'Mountain Biking', 'Camping', 'Car or Front Country Camping', 'Climbing', 'Rock Climbing', 'Compass and GPS', 'Geocaching', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Junior Ranger Program', 'Shopping', 'Bookstore and Park Store']",Biking,Mountain Biking,Camping,Car or Front Country Camping,Climbing,Rock Climbing,Compass and GPS,Geocaching,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Junior Ranger Program,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Saratoga National Historical Park,sara,NY,42.99522612,-73.63386108,National Historical Park,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Live Music', 'Auto and ATV', 'Scenic Driving', 'Biking', 'Road Biking', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Junior Ranger Program', 'Tubing', 'Snow Tubing', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Live Music,Auto and ATV,Scenic Driving,Biking,Road Biking,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Junior Ranger Program,Tubing,Snow Tubing,Skiing,Cross-Country Skiing,Snow Play,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,
391,Saugus Iron Works National Historic Site,sair,MA,42.46830664,-71.0076953,National Historic Site,"['Guided Tours', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Guided Tours,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Scotts Bluff National Monument,scbl,NE,41.83464193,-103.7071351,National Monument,"['Arts and Culture', 'Cultural Demonstrations', 'Hiking', 'Living History']",Arts and Culture,Cultural Demonstrations,Hiking,Living History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Selma To Montgomery National Historic Trail,semo,AL,32.27082092,-86.72823702,National Historic Trail,"['Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Volunteer Vacation', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Guided Tours,Self-Guided Tours - Walking,Hands-On,Volunteer Vacation,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Sequoia & Kings Canyon National Parks,seki,CA,36.71277299,-118.587429,National Parks,"['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'RV Camping', 'Caving', 'Climbing', 'Rock Climbing', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Hands-On', 'Citizen Science', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Auto and ATV,Scenic Driving,Astronomy,Stargazing,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Caving,Climbing,Rock Climbing,Fishing,Freshwater Fishing,Fly Fishing,Food,Dining,Picnicking,Guided Tours,Hands-On,Citizen Science,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,
395,Shenandoah National Park,shen,VA,38.49236644,-78.46907715,National Park,"['Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Climbing', 'Rock Climbing', 'Fishing', 'Food', 'Dining', 'Picnicking', 'Hands-On', 'Citizen Science', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Astronomy,Stargazing,Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,RV Camping,Climbing,Rock Climbing,Fishing,Food,Dining,Picnicking,Hands-On,Citizen Science,Hiking,Horse Trekking,Horseback Riding,Junior Ranger Program,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Shiloh National Military Park,shil,"TN,MS",35.13850907,-88.3421072,National Military Park,"['Arts and Culture', 'Cultural Demonstrations', 'Auto and ATV', 'Scenic Driving', 'Biking', 'Road Biking', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Living History', 'Historic Weapons Demonstration', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Cultural Demonstrations,Auto and ATV,Scenic Driving,Biking,Road Biking,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Living History,Historic Weapons Demonstration,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Sitka National Historical Park,sitk,AK,57.04718173,-135.3156876,National Historical Park,"['Arts and Culture', 'Craft Demonstrations', 'Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Hands-On', 'Citizen Science', 'Hiking', 'Hunting and Gathering', 'Gathering and Foraging', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits']",Arts and Culture,Craft Demonstrations,Fishing,Food,Picnicking,Guided Tours,Hands-On,Citizen Science,Hiking,Hunting and Gathering,Gathering and Foraging,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Sleeping Bear Dunes National Lakeshore,slbe,MI,44.92844962,-86.02706591,National Lakeshore,"['Astronomy', 'Stargazing', 'Biking', 'Camping', 'Backcountry Camping', 'Group Camping', 'Fishing', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Junior Ranger Program', 'Tubing', 'River Tubing', 'Skiing', 'Cross-Country Skiing', 'Snowshoeing', 'Swimming', 'Freshwater Swimming']",Astronomy,Stargazing,Biking,Camping,Backcountry Camping,Group Camping,Fishing,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Hunting and Gathering,Hunting,Paddling,Junior Ranger Program,Tubing,River Tubing,Skiing,Cross-Country Skiing,Snowshoeing,Swimming,Freshwater Swimming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,Springfield Armory National Historic Site,spar,MA,42.1086368,-72.57967415,National Historic Site,"['Cultural Demonstrations', 'Guided Tours', 'Historic Weapons Demonstration', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Cultural Demonstrations,Guided Tours,Historic Weapons Demonstration,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Star-Spangled Banner National Historic Trail,stsp,"MD,VA,DC",39.2872505188,-76.6034317017,National Historic Trail,"['Arts and Culture', 'Biking', 'Mountain Biking', 'Road Biking', 'Boating', 'Camping', 'Compass and GPS', 'Geocaching', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Front-Country Hiking', 'Living History', 'Reenactments', 'Paddling', 'Canoeing', 'Kayaking', 'Junior Ranger Program', 'Museum Exhibits']",Arts and Culture,Biking,Mountain Biking,Road Biking,Boating,Camping,Compass and GPS,Geocaching,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Front-Country Hiking,Living History,Reenactments,Paddling,Canoeing,Kayaking,Junior Ranger Program,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Statue Of Liberty National Monument,stli,NY,40.6898,-74.0451,National Monument,"['Food', 'Dining', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Ste. Geneviève National Historical Park,stge,MO,37.9792171421179,-90.0432157516479,National Historical Park,"['Arts and Culture', 'Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program', 'Museum Exhibits']",Arts and Culture,Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Steamtown National Historic Site,stea,PA,41.40757521,-75.67037255,National Historic Site,"['Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Stones River National Battlefield,stri,TN,35.87608652,-86.43078399,National Battlefield,"['Arts and Culture', 'Cultural Demonstrations', 'Theater', 'Biking', 'Road Biking', 'Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hands-On', 'Arts and Crafts', 'Hiking', 'Living History', 'Historic Weapons Demonstration', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Cultural Demonstrations,Theater,Biking,Road Biking,Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hands-On,Arts and Crafts,Hiking,Living History,Historic Weapons Demonstration,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,Sunset Crater Volcano National Monument,sucr,AZ,35.37114323,-111.510376,National Monument,"['Astronomy', 'Stargazing', 'Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Astronomy,Stargazing,Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Tallgrass Prairie National Preserve,tapr,KS,38.44023613,-96.5670822,National Preserve,"['Arts and Culture', 'Cultural Demonstrations', 'Astronomy', 'Stargazing', 'Fishing', 'Freshwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Bus/Shuttle Guided Tour', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Living History', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Cultural Demonstrations,Astronomy,Stargazing,Fishing,Freshwater Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Bus/Shuttle Guided Tour,Hiking,Backcountry Hiking,Front-Country Hiking,Living History,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Thaddeus Kosciuszko National Memorial,thko,PA,39.94345312,-75.14732045,National Memorial,"['Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program']",Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Theodore Roosevelt Birthplace National Historic Site,thrb,NY,40.7386469,-73.98903703,National Historic Site,"['Guided Tours', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Gift Shop and Souvenirs']",Guided Tours,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Theodore Roosevelt Inaugural National Historic Site,thri,NY,42.90146781,-78.87248411,National Historic Site,"['Arts and Culture', 'Food', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Living History', 'First Person Interpretation', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits']",Arts and Culture,Food,Guided Tours,Self-Guided Tours - Walking,Hands-On,Living History,First Person Interpretation,Junior Ranger Program,Park Film,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Theodore Roosevelt Island,this,DC,38.89584162,-77.06241918,,"['Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Paddling', 'Canoeing', 'Kayaking', 'Wildlife Watching', 'Birdwatching']",Guided Tours,Self-Guided Tours - Walking,Hiking,Paddling,Canoeing,Kayaking,Wildlife Watching,Birdwatching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,Theodore Roosevelt National Park,thro,ND,47.17777274,-103.4300083,National Park,"['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Horse Trekking', 'Horse Camping (see also camping)', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Horse Trekking,Horse Camping (see also camping),Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Thomas Cole National Historic Site,thco,NY,42.22570607,-73.86154864,National Historic Site,"['Arts and Culture', 'Guided Tours', 'Self-Guided Tours - Walking', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits']",Arts and Culture,Guided Tours,Self-Guided Tours - Walking,Wildlife Watching,Birdwatching,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Thomas Edison National Historical Park,edis,NJ,40.78549896,-74.23821139,National Historical Park,"['Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program']",Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Thomas Jefferson Memorial,thje,DC,38.88101431,-77.03632572,,"['Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program']",Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,Thomas Stone National Historic Site,thst,MD,38.52934443,-77.037813,National Historic Site,"['Arts and Culture', 'Hiking', 'Wildlife Watching', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Hiking,Wildlife Watching,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Timpanogos Cave National Monument,tica,UT,40.44039719,-111.7093944,National Monument,"['Caving', 'Guided Tours', 'Hiking', 'Junior Ranger Program']",Caving,Guided Tours,Hiking,Junior Ranger Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Timucuan Ecological & Historic Preserve,timu,FL,30.47251894,-81.49950104,Ecological & Historic Preserve,"['Auto and ATV', 'Scenic Driving', 'Biking', 'Boating', 'Motorized Boating', 'Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Living History', 'Historic Weapons Demonstration', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Auto and ATV,Scenic Driving,Biking,Boating,Motorized Boating,Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Living History,Historic Weapons Demonstration,Paddling,Canoeing,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,Tonto National Monument,tont,AZ,33.64842945,-111.1135627,National Monument,"['Biking', 'Road Biking', 'Food', 'Picnicking', 'Guided Tours', 'Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Biking,Road Biking,Food,Picnicking,Guided Tours,Hiking,Front-Country Hiking,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Touro Synagogue National Historic Site,tosy,RI,41.4893,-71.3121,National Historic Site,"['Arts and Culture', 'Cultural Demonstrations', 'Guided Tours']",Arts and Culture,Cultural Demonstrations,Guided Tours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Trail Of Tears National Historic Trail,trte,"AL,AR,GA,IL,KY,MO,NC,OK,TN",36.0530021046485,-89.6761041963142,National Historic Trail,"['Arts and Culture', 'Craft Demonstrations', 'Auto and ATV', 'Scenic Driving', 'Guided Tours', 'Self-Guided Tours - Auto', 'Museum Exhibits']",Arts and Culture,Craft Demonstrations,Auto and ATV,Scenic Driving,Guided Tours,Self-Guided Tours - Auto,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Tule Lake National Monument,tule,CA,41.88727902,-121.3744818,National Monument,"['Guided Tours', 'Museum Exhibits']",Guided Tours,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Tule Springs Fossil Beds National Monument,tusk,NV,36.3893217,-115.3202223,National Monument,"['Astronomy', 'Stargazing', 'Biking', 'Mountain Biking', 'Road Biking', 'Food', 'Picnicking', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching']",Astronomy,Stargazing,Biking,Mountain Biking,Road Biking,Food,Picnicking,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Junior Ranger Program,Wildlife Watching,Birdwatching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Tumacácori National Historical Park,tuma,AZ,31.567824,-111.051223,National Historical Park,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Live Music', 'Astronomy', 'Compass and GPS', 'Geocaching', 'Food', 'Dining', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Front-Country Hiking', 'Living History', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Live Music,Astronomy,Compass and GPS,Geocaching,Food,Dining,Guided Tours,Self-Guided Tours - Walking,Hiking,Front-Country Hiking,Living History,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Tupelo National Battlefield,tupe,MS,34.25557705,-88.73708623,National Battlefield,"['Guided Tours', 'Self-Guided Tours - Walking']",Guided Tours,Self-Guided Tours - Walking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,Tuskegee Airmen National Historic Site,tuai,AL,32.45538671,-85.67983321,National Historic Site,"['Guided Tours', 'Self-Guided Tours - Walking', 'Park Film', 'Museum Exhibits']",Guided Tours,Self-Guided Tours - Walking,Park Film,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Tuskegee Institute National Historic Site,tuin,AL,32.42962115,-85.70488498,National Historic Site,"['Guided Tours', 'Junior Ranger Program', 'Museum Exhibits']",Guided Tours,Junior Ranger Program,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
